"","names","means","spread"
"","text","3.13076933014122","0.187365279658472"
"conditionvi","visual","3.70814453895946","0.22693623078769"
"conditionst","stepper","4.25927183596017","0.22693623078769"
"conditionsc","scroller","4.23522439198868","0.22693623078769"
