"","names","means","spread"
"","text","3.13076933014122","0.179934059613272"
"conditionvi","visual","3.37891239513218","0.20355758594203"
"conditionst","stepper","3.77405091528615","0.20355758594203"
"conditionsc","scroller","3.67481041370102","0.20355758594203"
