"","names","means","spread"
"","text","3.13076933014122","0.180646709978517"
"conditionvi","visual","3.16868972578016","0.165667690817036"
"conditionst","stepper","3.48968033135252","0.165667690817036"
"conditionsc","scroller","3.26408552311512","0.165667690817036"
