"","names","means","spread"
"","text","3.13076933014122","0.182282209323487"
"conditionvi","visual","3.03342621427381","0.169862273715393"
"conditionst","stepper","3.45519805083395","0.169862273715393"
"conditionsc","scroller","3.18171237635201","0.169862273715393"
