"","names","means","spread"
"","text","3.13076933014122","0.178785676291375"
"conditionvi","visual","3.36563420680891","0.203899519969255"
"conditionst","stepper","3.80466824434009","0.203899519969255"
"conditionsc","scroller","3.78646504594545","0.203899519969255"
