"","names","means","spread"
"","text","3.13076933014122","0.195397580707147"
"conditionvi","visual","3.5464998264806","0.233203587090382"
"conditionst","stepper","4.12522145788669","0.233203587090382"
"conditionsc","scroller","4.23364699083227","0.233203587090382"
