"","names","means","spread"
"","text","3.13076933014122","0.170157712962402"
"conditionvi","visual","3.33337378364372","0.159868809166474"
"conditionst","stepper","3.69621636810302","0.180878385827912"
"conditionsc","scroller","3.57649284781833","0.217503105787615"
